,Name,Total Bedroom,Total Bathroom,Apart Size,Max Capacity,Max Watt,Address,Swim Pool,Rating,Total Review,Furnish Type,Price
46,New Modern Studio Apartment at Green Pramuka City By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,2,Full Furnished,"IDR
3,329,996
 / bulan"
47,Stylish and Convenient Studio Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,12,Full Furnished,"IDR
3,336,309
 / bulan"
48,Studio near Shopping Mall at Green Pramuka City Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.9,8,Full Furnished,"IDR
3,350,217
 / bulan"
49,Nice Studio at Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,10,Full Furnished,"IDR
3,350,217
 / bulan"
50,Comfy and Beautiful Studio Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 1 Tamu,1300 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.8,1,Full Furnished,"IDR
3,356,592
 / bulan"
51,Lovely and Strategic Studio at Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,2200 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.9,3,Full Furnished,"IDR
3,362,967
 / bulan"
52,Comfy Studio Green Pramuka Apartment with City View By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,4.7,2,Full Furnished,"IDR
3,362,967
 / bulan"
53,Cozy Studio Green Pramuka City Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
2,862,967
 / bulan"
54,Great Choice Studio Green Pramuka Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,900 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,5,1,Full Furnished,"IDR
3,362,967
 / bulan"
55,Modern Studio at Green Pramuka City Apartment By Travelio,Studio,1,21 sqm,Max. 2 Tamu,1300 W,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,New,-1,Full Furnished,"IDR
2,862,967
 / bulan"
56,Homey Studio with City View Apartment @ Puri Orchard By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1200 W,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,New,-1,Full Furnished,"IDR
3,363,299
 / bulan"
57,Modern and Fully Furnished Studio at Puri Orchard Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1200 W,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,4.8,6,Full Furnished,"IDR
3,363,299
 / bulan"
58,Comfy Studio Greenlake Sunter Apartment By Travelio,Studio,1,20 sqm,Max. 2 Tamu,1200 W,"Jl. Danau Sunter Selatan, RT.15/RW.16, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",1,4.7,3,Full Furnished,"IDR
3,366,120
 / bulan"
59,Cozy Studio Green Lake Sunter Apartment By Travelio,Studio,1,20 sqm,Max. 2 Tamu,1200 W,"Jl. Danau Sunter Selatan, RT.15/RW.16, Sunter Agung, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14350",1,5,2,Full Furnished,"IDR
3,366,120
 / bulan"
60,Modest 2BR Apartment at Casablanca East Residences By Travelio,2,1,31 sqm,Max. 3 Tamu,1300 W,"Jalan Pahlawan Revolusi No.2, RT.1/RW.2, Pd. Bambu, Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",1,New,-1,Full Furnished,"IDR
3,378,749
 / bulan"
61,1BR Super King Bed Ancol Marina Apartment By Travelio,1,1,54 sqm,Max. 2 Tamu,5500 W,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,4.9,11,Full Furnished,"IDR
3,399,999
 / bulan"
62,Simply for 2BR at Kalibata City Apartment By Travelio,2,1,33 sqm,Max. 4 Tamu,1300 W,"Jl. Taman Makam Pahlawan, RT.9/RW.4, Rawajati, Pancoran, Kalibata, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",-1,New,-1,Full Furnished,"IDR
3,400,000
 / bulan"
63,Studio Sunter Park View Apartment Near Mall Of Indonesia Kelapa Gading By Travelio,Studio,1,25 sqm,Max. 2 Tamu,900 W,"Jalan Yos Sudarso, Sunter Jaya, Tanjung Priok, Jakarta Utara",1,4.7,3,Full Furnished,"IDR
3,416,204
 / bulan"
64,Fabulous Studio Room Puri Orchard Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1200 W,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,New,-1,Full Furnished,"IDR
3,416,999
 / bulan"
65,Fully Furnished with Comfortable Design Studio Puri Orchard Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1200 W,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,5,1,Full Furnished,"IDR
3,416,999
 / bulan"
66,Spacious 1BR Puri Park View Apartment By Travelio,1,1,35 sqm,Max. 2 Tamu,-1,"Jl. Pesanggrahan No.33 10, RT.10/RW.5, 5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620",1,4.8,6,Full Furnished,"IDR
3,429,999
 / bulan"
67,Minimalist Studio Room at Sunter Park View Apartment By Travelio,Studio,1,25 sqm,Max. 2 Tamu,900 W,"Jl. Yos Sudarso, Sunter Jaya, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14360",1,5,1,Full Furnished,"IDR
3,470,428
 / bulan"
68,Cozy Stay at 2BR at Kalibata City Apartment near Shopping Center By Travelio,2,1,33 sqm,Max. 3 Tamu,1300 W,"Jl. Taman Makam Pahlawan, RT.9/RW.4, Rawajati, Pancoran, Kalibata, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740",-1,New,-1,Full Furnished,"IDR
2,978,402
 / bulan"
69,Strategic and Simply Studio Sunter Park View Apartment By Travelio,Studio,1,17 sqm,Max. 2 Tamu,1300 W,"Jl. Yos Sudarso, Sunter Jaya, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14360",1,5,4,Full Furnished,"IDR
3,499,999
 / bulan"
70,Beautiful Studio at Pasar Baru Mansion Apartment By Travelio,Studio,1,31 sqm,Max. 2 Tamu,1300 W,"Jl. Pintu Air V No.53, RT.5/RW.8, Ps. Baru, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 11710",1,5,2,Full Furnished,"IDR
3,499,999
 / bulan"
71,Good Deal Bassura City Studio Apartment By Travelio,Studio,1,20 sqm,Max. 2 Guest(s),1200 W,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",1,4.9,11,Full Furnished,"IDR
3,500,000
 / bulan"
72,2BR Pancoran Riverside Apartment Fully Furnished By Travelio,2,1,32 sqm,Max. 3 Tamu,2200 W,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,4.9,7,Full Furnished,"IDR
3,514,799
 / bulan"
73,Best Price 2BR Apartment at Northland Ancol Residence By Travelio,2,1,41 sqm,Max. 3 Tamu,3500 W,"Jl. Laksamana R. E. Martadinata No.26, Pademangan Barat, Pademangan, RT.11/RW.11, Pademangan Bar., Pademangan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14420",1,5,2,Full Furnished,"IDR
2,526,161
 / bulan"
74,Homey and Tidy 2BR Apartment at Pancoran Riverside By Travelio,2,1,33 sqm,Max. 3 Tamu,2200 W,"Jalan Pengadegan Timur I No. 30, RT.06 / RW.01, Pengadegan, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770",1,5,1,Full Furnished,"IDR
3,555,633
 / bulan"
75,Garden View Studio at Nifarro Park Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,5,4,Full Furnished,"IDR
3,412,499
 / bulan"
76,Good Choice Studio Nifarro Park Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,2200 W,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,4.8,1,Full Furnished,"IDR
3,562,499
 / bulan"
77,Best Price Modern Studio Apartment at Nifarro Park By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,4.7,4,Full Furnished,"IDR
3,412,499
 / bulan"
78,Elegant Studio Apartment at Nifarro Park By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,5,1,Full Furnished,"IDR
3,572,874
 / bulan"
79,Cozy Minimalist 1BR Apartment at Mediterania Marina Residence By Travelio,1,1,31 sqm,Max. 2 Tamu,3500 W,"Jl. Lodan Raya No.2, RT.8/RW.11, Ancol, Pademangan, Kota Jakarta Utara, Daerah Khusus Ibukota Jakarta 14430",1,New,-1,Full Furnished,"IDR
3,424,966
 / bulan"
80,Relax Studio at Nifarro Apartment By Travelio,Studio,1,26 sqm,Max. 2 Tamu,1300 W,"Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",-1,4.9,3,Full Furnished,"IDR
3,574,999
 / bulan"
81,Comfort Studio Kebagusan City Apartment By Travelio,Studio,1,24 sqm,Max. 2 Tamu,900 W,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",1,4.9,3,Full Furnished,"IDR
3,590,528
 / bulan"
