,Name,Total Bedroom,Apart Size,Max Watt,Address,Swim Pool,Furnish Type,Price,lat,lon,location,kecamatan
20,Fully Furnished with Comfortable Design 2BR Apartment Sentra Timur Residence By Travelio,2,28,1300,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,Full Furnished,3047249,-6.208319299999999,106.9474685,"Jl. Sentra Primer Tim., RT.5/RW.8, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia",Cakung
21,Minimalist Studio Room with City View @ Tifolia Apartment By Travelio,0,21,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3072499,-6.177104,106.8944749,"Jl. Perintis Kemerdekaan Blok 2 No.6, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",Pulo Gadung
22,1BR Kuningan Place Apartment near Mega Kuningan Bussines Center By Travelio,1,39,2277,"Jl. Kuningan Utama Lot No.15, RT.7/RW.1, Menteng Atas, Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430",1,Full Furnished,4724749,-6.213011,106.8351979,"7, apartement kuningan place, Jl. H Kavling No.15, RW.1, Menteng Atas, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12980, Indonesia",Menteng
23,City View Studio @ Green Bay Pluit Apartment By Travelio,0,21,2200,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2027803,-6.108289000000001,106.778926,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Penjaringan
24,Comfort and Strategic Studio Westmark Apartment By Travelio,0,29,1300,"Jalan Tanjung Duren Timur II No.30, RT.12/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",1,Full Furnished,4500000,-6.1804317,106.7936824,"Jl. Tj. Duren Timur 2 No.30, RT.12/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol Petamburan
25,Cozy and Elegant 3BR Apartment for 6 Pax at Taman Rasuna By Travelio,3,89,4363,"Kompleks Epicentrum, Jalan H TR. Rasuna Said, RT.16/RW.1, Karet Kuningan, Menteng Atas, Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940",1,Full Furnished,8899999,-6.2164896,106.834699,"Jl. H. R. Rasuna Said, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940, Indonesia",Setiabudi
26,Green Bay Pluit Studio Apartment with 2 Single Beds By Travelio,0,21,2200,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2888627,-6.108289000000001,106.778926,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Penjaringan
27,Blue Studio Apartment at Green Bay Pluit By Travelio,0,21,2200,"Jalan Pluit Karang Ayu B1 Utara, Pluit, Penjaringan, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2896861,-6.108289000000001,106.778926,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Penjaringan
28,Compact and Cozy Studio Room Green Bay Pluit Apartment By Travelio,0,21,1300,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",1,Full Furnished,2901377,-6.108289000000001,106.778926,"Jl. Pluit Karang Ayu Barat No.B1, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450, Indonesia",Penjaringan
29,Minimalist and Cozy 2BR Apartment at Casablanca East Residence By Travelio,2,38,2200,"Jalan Pahlawan Revolusi No.2, RT.1/RW.2, Pd. Bambu, Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430",1,Full Furnished,2999999,-6.223871099999999,106.8978078,"Jl. Pahlawan Revolusi No.2, RT.1/RW.2, Pd. Bambu, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13430, Indonesia",Duren Sawit
30,Comfy Studio Room at Tifolia Apartment By Travelio,0,21,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3103224,-6.177104,106.8944749,"Jl. Perintis Kemerdekaan Blok 2 No.6, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",Pulo Gadung
31,New and Fresh Studio Apartment at Sentraland Cengkareng By Travelio,0,22,1300,"Jl. Kapuk Cengkareng, RT.22/RW.16, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",1,Full Furnished,2610999,-6.128755,106.738178,"Jl. Kapuk Cengkareng Blok Rawa Gabus No.22, RT.11/RW.11, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720, Indonesia",Cengkareng
32,Minimalist and Fully Furnished Studio Tifolia Apartment By Travelio,0,21,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3118374,-6.177104,106.8944749,"Jl. Perintis Kemerdekaan Blok 2 No.6, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",Pulo Gadung
33,Comfort and Modern Studio Tifolia Apartment By Travelio,0,21,1200,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3149249,-6.177104,106.8944749,"Jl. Perintis Kemerdekaan Blok 2 No.6, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",Pulo Gadung
34,Cozy and Simply Studio Tifolia Apartment near Kelapa Gading By Travelio,0,21,1300,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,2649249,-6.177104,106.8944749,"Jl. Perintis Kemerdekaan Blok 2 No.6, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",Pulo Gadung
35,Affordable 2BR at Sentra Timur Apartment By Travelio,2,36,1300,"Jl. Sentra Primer Timur, RT.5/RW.8, Pulo Gebang, Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",1,Full Furnished,3161919,-6.208319299999999,106.9474685,"Jl. Sentra Primer Tim., RT.5/RW.8, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia",Cakung
36,Simple Room at Way Seputih Residence near Central Park By Travelio,0,14,1300,"Jl. Way Seputih V No.2, RT.11/RW.1, Tj. Duren Sel., Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-1,Full Furnished,2100000,-6.1818558,106.7885318,"Jl. Way Seputih V No.2, RT.11/RW.1, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470, Indonesia",Grogol Petamburan
37,Cozy and Simply Studio Titanium Square Apartment By Travelio,0,29,1300,"Jl. Buah No.4, RT.6/RW.4, Pekayon, Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710",1,Full Furnished,3225749,-6.341654,106.870183,"Jl. Buah No.4, RT.6/RW.4, Pekayon, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13710, Indonesia",Ps. Rebo
38,Functional Studio Green Pramuka Apartment near Shopping Center By Travelio,0,21,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3249999,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
39,Homey and Comfortable Studio at Green Pramuka City Apartment By Travelio,0,21,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,2799999,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
40,Cozy Studio Green Pramuka Apartment next to Mall By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3317371,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
41,Minimalist Studio with City View at Green Pramuka Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3317371,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
42,Tifolia Studio Apartment with Double Bed near LRT Station By Travelio,0,26,900,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Pulo Gadung, Kota Jakarta Timur, Jakarta 13210",1,Full Furnished,3319128,-6.177104,106.8944749,"Jl. Perintis Kemerdekaan Blok 2 No.6, RT.8/RW.8, Pulo Gadung, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13260, Indonesia",Pulo Gadung
43,Cozy and Stylish Studio Green Pramuka Apartment near Mall By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3329996,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
44,Cozy Studio with Direct Access to Mall at Green Pramuka Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3329996,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
45,New Modern Studio Apartment at Green Pramuka City By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3329996,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
46,Stylish and Convenient Studio Green Pramuka Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3336309,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
47,Studio near Shopping Mall at Green Pramuka City Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3350217,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
48,Nice Studio at Green Pramuka Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3350217,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
49,Comfy and Beautiful Studio Green Pramuka Apartment By Travelio,0,21,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3356592,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
50,Lovely and Strategic Studio at Green Pramuka Apartment By Travelio,0,21,2200,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3362967,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
51,Comfy Studio Green Pramuka Apartment with City View By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3362967,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
52,Cozy Studio Green Pramuka City Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,2862967,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
53,Great Choice Studio Green Pramuka Apartment By Travelio,0,21,900,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,3362967,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
54,Modern Studio at Green Pramuka City Apartment By Travelio,0,21,1300,"Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",1,Full Furnished,2862967,-6.2044577,106.8750683,"Jl. Rw. Jaya No.49, RT.12/RW.6, Pisangan Tim., Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 10570, Indonesia",Pulo Gadung
55,Homey Studio with City View Apartment @ Puri Orchard By Travelio,0,26,1200,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,Full Furnished,3363299,-6.165934399999999,106.7290717,"Samping Gedung OT Jalan Raya Adicipta, Jl. Lkr. Luar Barat No.Kav.8, RT.2/RW.3, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740, Indonesia",Cengkareng
56,Modern and Fully Furnished Studio at Puri Orchard Apartment By Travelio,0,26,1200,"Jl. Raya Adicipta Kav. 8 Lingkar Luar Barat, RT.11/RW.3, Rawa Buaya, Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",1,Full Furnished,3363299,-6.165934399999999,106.7290717,"Samping Gedung OT Jalan Raya Adicipta, Jl. Lkr. Luar Barat No.Kav.8, RT.2/RW.3, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740, Indonesia",Cengkareng
